s.no.,project_url,project_name
1,apache / spark,https://github.com/apache/spark
2,apache / hadoop,https://github.com/apache/hadoop
3,jbhuang0604 / awesome-computer-vision,https://github.com/jbhuang0604/awesome-computer-vision
4,GSA / data,https://github.com/GSA/data
5,GoogleTrends / data,https://github.com/GoogleTrends/data
6,nationalparkservice / data,https://github.com/nationalparkservice/data
7,fivethirtyeight / data,https://github.com/fivethirtyeight/data
8,beamandrew / medical-data,https://github.com/beamandrew/medical-data
9,src-d / awesome-machine-learning-on-source-code,https://github.com/src-d/awesome-machine-learning-on-source-code
10,igrigorik / decisiontree,https://github.com/igrigorik/decisiontree
11,keon / awesome-nlp,https://github.com/keon/awesome-nlp
12,openai / gym,https://github.com/openai/gym
13,aikorea / awesome-rl,https://github.com/aikorea/awesome-rl
14,umutisik / Eigentechno,https://github.com/umutisik/Eigentechno
15,jpmckinney / tf-idf-similarity,https://github.com/jpmckinney/tf-idf-similarity
16,scikit-learn-contrib / lightning,https://github.com/scikit-learn-contrib/lightning
17,gwding / draw_convnet,https://github.com/gwding/draw_convnet
18,scikit-learn / scikit-learn,https://github.com/scikit-learn/scikit-learn
19,tensorflow / tensorflow,https://github.com/tensorflow/tensorflow
20,activeloopai / deeplake,https://github.com/activeloopai/deeplake
